diagonal_001_1.csv,12419
diagonal_001_10.csv,124190
diagonal_001_20.csv,248380
diagonal_001_30.csv,372570
diagonal_001_40.csv,496760
diagonal_001_50.csv,620950
diagonal_002_1.csv,15436
diagonal_002_10.csv,154360
diagonal_002_20.csv,308720
diagonal_002_30.csv,463080
diagonal_002_40.csv,617440
diagonal_002_50.csv,771800
diagonal_003_1.csv,13098
diagonal_003_10.csv,130980
diagonal_003_20.csv,261960
diagonal_003_30.csv,392940
diagonal_003_40.csv,523920
diagonal_003_50.csv,654900
gaussian_001_1.csv,27275
gaussian_001_10.csv,272750
gaussian_001_20.csv,545500
gaussian_001_30.csv,818250
gaussian_001_40.csv,1091000
gaussian_001_50.csv,1363750
gaussian_002_1.csv,15596
gaussian_002_10.csv,155960
gaussian_002_20.csv,311920
gaussian_002_30.csv,467880
gaussian_002_40.csv,623840
gaussian_002_50.csv,779800
gaussian_003_1.csv,14046
gaussian_003_10.csv,140460
gaussian_003_20.csv,280920
gaussian_003_30.csv,421380
gaussian_003_40.csv,561840
gaussian_003_50.csv,702300
uniform_001_1.csv,26050
uniform_001_10.csv,260500
uniform_001_20.csv,521000
uniform_001_30.csv,781500
uniform_001_40.csv,1042000
uniform_001_50.csv,1302500
uniform_002_1.csv,11832
uniform_002_10.csv,118320
uniform_002_20.csv,236640
uniform_002_30.csv,354960
uniform_002_40.csv,473280
uniform_002_50.csv,591600
uniform_003_1.csv,14754
uniform_003_10.csv,147540
uniform_003_20.csv,295080
uniform_003_30.csv,442620
uniform_003_40.csv,590160
uniform_003_50.csv,737700
