dataset_name, cardinality, AVG area, AVG x, AVG y, num_vertices, E0, E2, E3, empty_cells 
diagonal_001,23061,1.33E-06,1.03E-03,1.30E-03,4,1.646,0.968,0.971,0.992
diagonal_002,29375,1.38E-06,1.38E-03,9.96E-04,4,1.691,1.563,1.194,0.992
diagonal_003,12038,1.23E-06,1.28E-03,9.64E-04,4,0.858,0.801,0.79,0.997
diagonal_004,19402,1.19E-06,1.19E-03,9.99E-04,4,1.399,0.792,0.783,0.996
diagonal_005,21649,1.10E-06,7.74E-04,1.42E-03,4,1.701,1.688,1.598,0.995
diagonal_006,22081,1.12E-06,1.23E-03,9.10E-04,4,1.606,1.287,1.503,0.99
diagonal_007,18209,1.05E-06,1.22E-03,8.56E-04,4,1.636,1.686,1.621,0.99
diagonal_008,13445,7.04E-07,8.25E-04,8.54E-04,4,1.267,1.71,1.659,0.998
diagonal_009,12316,1.60E-06,1.26E-03,1.27E-03,4,1.39,1.505,1.446,0.984
diagonal_010,17903,7.37E-07,9.78E-04,7.54E-04,4,1.596,0.696,0.674,0.989
diagonal_011,26723,1.54E-06,1.36E-03,1.13E-03,4,1.753,1.6,1.522,0.998
diagonal_012,14097,2.15E-06,1.46E-03,1.47E-03,4,1.465,1.608,1.293,0.989
diagonal_013,17582,1.11E-06,9.77E-04,1.14E-03,4,1.324,1.595,1.539,0.981
diagonal_014,13460,1.26E-06,1.50E-03,8.40E-04,4,1.2935,1.2745,1.2485,0.991
diagonal_015,10157,1.31E-06,9.77E-04,1.34E-03,4,1.476,1.507,1.501,0.986
diagonal_016,25807,1.65E-06,1.39E-03,1.18E-03,4,1.349,1.231,1.197,0.994
diagonal_017,24970,1.15E-06,9.39E-04,1.23E-03,4,1.543,1.687,1.633,0.986
diagonal_018,13514,9.43E-07,9.67E-04,9.75E-04,4,0.951,0.953,0.953,0.998
diagonal_019,27105,7.82E-07,8.96E-04,8.72E-04,4,1.283,0.866,0.873,0.998
diagonal_020,26596,1.05E-06,8.43E-04,1.25E-03,4,1.431,1.437,1.321,0.994
diagonal_021,28731,1.13E-06,1.03E-03,1.10E-03,4,1.411,1.618,1.533,0.991
diagonal_022,28417,1.05E-06,1.25E-03,8.41E-04,4,1.616,1.367,1.321,0.986
diagonal_023,25984,1.61E-06,1.10E-03,1.46E-03,4,1.408,1.692,1.581,0.993
diagonal_024,24960,1.08E-06,7.55E-04,1.43E-03,4,1.44,1.634,1.538,0.986
diagonal_025,19078,1.78E-06,1.28E-03,1.39E-03,4,1.154,0.848,0.839,0.998
gaussian_001,20137,7.72E-07,8.99E-04,8.58E-04,4,1.43,1.39,1.87,0.994
gaussian_002,12255,1.27E-06,9.15E-04,1.39E-03,4,1.182,0.616,0.595,0.997
gaussian_003,11851,1.35E-06,1.13E-03,1.19E-03,4,1.632,1.864,1.855,0.997
gaussian_004,16475,1.12E-06,1.00E-03,1.12E-03,4,1.5835,1.852,1.849,0.993
gaussian_005,20853,8.30E-07,9.71E-04,8.55E-04,4,1.192,1.253,1.244,0.998
gaussian_006,21539,1.17E-06,9.63E-04,1.21E-03,4,1.586,1.868,1.863,0.99
gaussian_007,20535,1.27E-06,9.90E-04,1.28E-03,4,1.642,1.878,1.874,0.994
gaussian_008,15929,9.49E-07,8.17E-04,1.16E-03,4,1.565,1.429,1.408,0.991
gaussian_009,26727,2.06E-06,1.41E-03,1.46E-03,4,1.272,0.497,1.0895,0.998
gaussian_010,27588,9.34E-07,9.26E-04,1.01E-03,4,0.905,1.488,1.485,0.995
gaussian_011,24584,1.19E-06,1.22E-03,9.72E-04,4,1.497,1.851,1.847,0.986
gaussian_012,20458,8.44E-07,9.31E-04,9.06E-04,4,1.6,1.851,1.853,0.991
gaussian_013,17702,1.16E-06,8.63E-04,1.34E-03,4,1.642,1.741,1.722,0.998
gaussian_014,15427,1.63E-06,1.20E-03,1.36E-03,4,1.619,1.884,1.882,0.993
gaussian_015,11516,1.69E-06,1.23E-03,1.37E-03,4,1.574,1.81,1.814,0.991
gaussian_016,22089,1.09E-06,1.29E-03,8.47E-04,4,1.473,1.884,1.88,0.993
gaussian_017,22770,1.02E-06,1.20E-03,8.47E-04,4,0.757,0.538,0.502,0.997
gaussian_018,17103,1.53E-06,1.10E-03,1.39E-03,4,1.316,1.919,1.921,0.983
gaussian_019,14747,1.34E-06,1.25E-03,1.08E-03,4,1.591,1.854,1.848,0.992
gaussian_020,18252,1.12E-06,1.07E-03,1.05E-03,4,1.634,1.796,1.779,0.995
gaussian_021,13507,1.45E-06,1.49E-03,9.76E-04,4,1.276,1.828,1.823,0.994
gaussian_022,22579,1.02E-06,1.31E-03,7.76E-04,4,1.631,1.865,1.853,0.993
gaussian_023,26275,1.40E-06,1.12E-03,1.25E-03,4,1.251,0.695,0.664,0.998
gaussian_024,27192,1.24E-06,1.48E-03,8.42E-04,4,1.649,1.462,1.437,0.991
gaussian_025,24707,1.83E-06,1.42E-03,1.28E-03,4,1.464,1.856,1.85,0.983
parcel_001,14434,6.92E-05,4.67E-03,4.64E-03,4,1.957,1.939,1.799,0.941
parcel_002,16612,6.01E-05,4.35E-03,4.33E-03,4,1.957,1.934,1.761,0.941
parcel_003,24953,4.00E-05,3.07E-03,3.06E-03,4,1.957,1.811,1.751,0.941
parcel_004,14085,7.09E-05,4.53E-03,4.50E-03,4,1.957,1.941,1.756,0.941
parcel_005,16355,6.10E-05,3.47E-03,3.45E-03,4,1.957,1.91,1.731,0.941
parcel_006,20902,4.78E-05,3.20E-03,3.18E-03,4,1.957,1.902,1.731,0.941
parcel_007,21286,4.69E-05,2.93E-03,2.98E-03,4,1.957,1.853,1.714,0.941
parcel_008,16196,6.16E-05,3.75E-03,3.75E-03,4,1.957,1.916,1.74,0.941
parcel_009,21187,4.71E-05,3.21E-03,3.16E-03,4,1.957,1.803,1.704,0.941
parcel_010,18883,5.29E-05,3.45E-03,3.43E-03,4,1.957,1.926,1.711,0.941
parcel_011,15724,6.35E-05,3.96E-03,4.03E-03,4,1.957,1.93,1.754,0.941
parcel_012,12714,7.86E-05,4.97E-03,4.91E-03,4,1.957,1.943,1.763,0.941
parcel_013,11414,8.75E-05,4.61E-03,4.65E-03,4,1.957,1.942,1.76,0.941
parcel_014,25874,3.86E-05,2.90E-03,2.99E-03,4,1.957,1.904,1.693,0.941
parcel_015,15370,6.49E-05,3.80E-03,3.84E-03,4,1.957,1.81,1.708,0.941
parcel_016,14762,6.77E-05,4.38E-03,4.40E-03,4,1.957,1.936,1.72,0.941
parcel_017,21129,4.72E-05,3.43E-03,3.41E-03,4,1.957,1.913,1.71,0.941
parcel_018,18246,5.47E-05,3.68E-03,3.69E-03,4,1.957,1.811,1.711,0.941
parcel_019,14175,7.04E-05,4.61E-03,4.57E-03,4,1.957,1.942,1.805,0.941
parcel_020,21358,4.68E-05,2.97E-03,2.97E-03,4,1.957,1.89,1.702,0.941
parcel_021,12876,7.75E-05,4.63E-03,4.61E-03,4,1.957,1.937,1.752,0.941
parcel_022,29597,3.37E-05,2.61E-03,2.56E-03,4,1.957,1.899,1.718,0.941
parcel_023,10320,9.67E-05,5.71E-03,5.80E-03,4,1.957,1.952,1.823,0.941
parcel_024,28118,3.55E-05,3.11E-03,3.06E-03,4,1.957,1.804,1.745,0.941
parcel_025,13593,7.35E-05,4.87E-03,4.99E-03,4,1.957,1.94,1.768,0.941
uniform_001,15075,1.18E-06,1.40E-03,8.45E-04,4,1.5,1.583,1.594,0.974
uniform_002,19041,1.14E-06,1.36E-03,8.33E-04,4,1.568,1.616,1.622,0.974
uniform_003,25584,1.78E-06,1.37E-03,1.30E-03,4,1.669,1.476,1.473,0.987
uniform_004,29958,1.21E-06,8.23E-04,1.47E-03,4,1.781,1.779,1.764,0.989
uniform_005,10657,8.41E-07,7.57E-04,1.11E-03,4,1.535,0.614,1.616,0.992
uniform_006,12160,1.02E-06,1.21E-03,8.46E-04,4,1.599,1.593,1.587,0.974
uniform_007,15956,1.26E-06,1.12E-03,1.12E-03,4,1.83,1.495,1.422,0.987
uniform_008,18249,7.89E-07,7.62E-04,1.04E-03,4,1.282,1.717,1.698,0.991
uniform_009,21190,1.27E-06,1.36E-03,9.34E-04,4,1.533,1.531,1.532,0.967
uniform_010,29572,1.12E-06,1.44E-03,7.74E-04,4,1.814,1.857,1.844,0.995
uniform_011,15011,5.94E-07,7.51E-04,7.92E-04,4,1.195,1.255,1.268,0.991
uniform_012,18907,1.30E-06,1.13E-03,1.15E-03,4,1.737,1.746,1.728,0.992
uniform_013,18439,1.38E-06,1.11E-03,1.25E-03,4,1.529,1.572,1.561,0.974
uniform_014,19121,1.61E-06,1.16E-03,1.39E-03,4,1.524,1.589,1.592,0.971
uniform_015,12083,1.03E-06,8.01E-04,1.29E-03,4,1.509,1.476,1.484,0.98
uniform_016,25965,2.02E-06,1.48E-03,1.36E-03,4,1.402,1.576,1.569,0.977
uniform_017,20613,1.25E-06,1.28E-03,9.82E-04,4,1.421,1.527,1.42,0.981
uniform_018,14039,1.44E-06,1.27E-03,1.14E-03,4,1.606,1.558,1.542,0.982
uniform_019,14027,1.19E-06,1.43E-03,8.32E-04,4,1.63,1.675,1.39,0.99
uniform_020,10508,6.89E-07,8.74E-04,7.89E-04,4,1.647,1.609,1.588,0.994
uniform_021,22714,1.32E-06,1.39E-03,9.46E-04,4,1.378,1.529,1.437,0.978
uniform_022,14053,8.79E-07,1.07E-03,8.18E-04,4,1.47,1.472,1.46,0.984
uniform_023,26483,9.56E-07,1.17E-03,8.17E-04,4,1.4225,0.807,0.803,0.999
uniform_024,27236,1.47E-06,1.28E-03,1.15E-03,4,1.456,1.522,1.514,0.972
uniform_025,29240,1.66E-06,1.40E-03,1.19E-03,4,1.832,1.592,1.582,0.983
