dataset_name, cardinality, AVG area, AVG x, AVG y, num_vertices, E0, E2, E3, empty_cells 
diagonal_001.csv,25848,1.09E-06,9.54E-04,1.14E-03,4,1.358,1.557,1.384,0.98
diagonal_002.csv,27622,1.59E-06,1.32E-03,1.20E-03,4,1.352,1.602,1.408,0.98
diagonal_003.csv,24663,1.17E-06,1.02E-03,1.14E-03,4,1.638,0.929,1.642,0.986
diagonal_004.csv,28058,1.34E-06,1.14E-03,1.17E-03,4,1.456,1.623,1.464,0.978
diagonal_005.csv,12684,1.06E-06,1.27E-03,8.37E-04,4,1.266,0.948,1.149,0.986
diagonal_006.csv,20393,2.17E-06,1.48E-03,1.46E-03,4,1.36,1.27,1.392,0.979
diagonal_007.csv,17852,1.02E-06,1.20E-03,8.51E-04,4,1.314,1.406,1.401,0.977
diagonal_008.csv,28742,7.21E-07,7.63E-04,9.45E-04,4,1.372,1.369,1.3,0.978
diagonal_009.csv,15540,1.40E-06,9.87E-04,1.42E-03,4,1.34,1.344,1.388,0.981
diagonal_010.csv,28568,9.69E-07,8.43E-04,1.15E-03,4,1.307,0.956,1.372,0.983
diagonal_011.csv,13758,1.17E-06,1.35E-03,8.69E-04,4,1.63,1.2715,1.491,0.99
diagonal_012.csv,21525,1.22E-06,8.92E-04,1.37E-03,4,1.625,1.353,1.3215,0.989
diagonal_013.csv,17112,2.04E-06,1.46E-03,1.40E-03,4,1.63,0.923,1.57,0.988
diagonal_014.csv,25136,1.37E-06,1.13E-03,1.21E-03,4,1.357,1.33,1.357,0.98
diagonal_015.csv,13045,1.14E-06,1.48E-03,7.69E-04,4,1.65,0.914,1.434,0.988
diagonal_016.csv,28736,6.04E-07,7.95E-04,7.59E-04,4,1.618,1.3145,0.888,0.989
diagonal_017.csv,18183,6.74E-07,8.96E-04,7.53E-04,4,1.314,1.287,1.181,0.983
diagonal_018.csv,20254,1.89E-06,1.37E-03,1.38E-03,4,1.378,1.251,1.301,0.978
diagonal_019.csv,23529,1.65E-06,1.27E-03,1.29E-03,4,1.672,1.3715,1.3395,0.988
diagonal_020.csv,18778,1.56E-06,1.48E-03,1.06E-03,4,1.32,1.521,1.341,0.983
diagonal_021.csv,27568,1.49E-06,1.49E-03,1.00E-03,4,1.345,1.669,1.481,0.98
diagonal_022.csv,14534,1.74E-06,1.44E-03,1.21E-03,4,1.299,1.395,1.331,0.979
diagonal_023.csv,16013,1.00E-06,1.02E-03,9.86E-04,4,1.304,1.266,1.301,0.984
diagonal_024.csv,26133,1.23E-06,1.40E-03,8.77E-04,4,1.612,1.502,1.312,0.984
diagonal_025.csv,15650,1.56E-06,1.15E-03,1.35E-03,4,1.586,1.287,1.509,0.989
gaussian_001.csv,20339,1.74E-06,1.24E-03,1.40E-03,4,1.569,1.421,1.394,0.983
gaussian_002.csv,27848,1.50E-06,1.04E-03,1.45E-03,4,1.338,1.425,1.398,0.982
gaussian_003.csv,16089,8.25E-07,1.07E-03,7.74E-04,4,1.524,1.418,1.39,0.984
gaussian_004.csv,11973,2.06E-06,1.39E-03,1.48E-03,4,1.529,1.31,1.276,0.984
gaussian_005.csv,14942,1.39E-06,9.88E-04,1.41E-03,4,1.533,1.417,1.389,0.984
gaussian_006.csv,12024,1.30E-06,1.26E-03,1.03E-03,4,1.278,1.414,1.384,0.984
gaussian_007.csv,23467,1.52E-06,1.17E-03,1.30E-03,4,1.574,1.424,1.397,0.982
gaussian_008.csv,18408,8.19E-07,9.74E-04,8.41E-04,4,1.536,1.419,1.392,0.984
gaussian_009.csv,17133,8.37E-07,8.74E-04,9.57E-04,4,1.527,1.42,1.393,0.984
gaussian_010.csv,12087,9.92E-07,1.02E-03,9.75E-04,4,1.419,1.417,1.39,0.984
gaussian_011.csv,13549,1.05E-06,7.73E-04,1.36E-03,4,1.516,1.422,1.395,0.984
gaussian_012.csv,12108,1.27E-06,1.31E-03,9.66E-04,4,1.416,1.417,1.388,0.984
gaussian_013.csv,27677,1.73E-06,1.22E-03,1.42E-03,4,1.407,1.585,1.395,0.982
gaussian_014.csv,29682,1.37E-06,9.64E-04,1.42E-03,4,1.59,1.425,1.397,0.982
gaussian_015.csv,17259,7.89E-07,8.95E-04,8.82E-04,4,1.529,1.42,1.392,0.984
gaussian_016.csv,16164,1.07E-06,1.21E-03,8.81E-04,4,1.112,1.42,1.391,0.984
gaussian_017.csv,11878,1.50E-06,1.00E-03,1.49E-03,4,1.52,1.419,1.391,0.985
gaussian_018.csv,14732,2.08E-06,1.48E-03,1.40E-03,4,1.468,1.417,1.389,0.984
gaussian_019.csv,26412,1.58E-06,1.12E-03,1.41E-03,4,1.594,1.583,1.564,0.982
