dataset_name,cardinality,mbrAreaAvg(D1),lenXAvg(D1),lenYAvg(D1),E0,E2
Combo_001.csv,34048,1.39E-06,1.43E-03,8.34E-04,1.471,1.595
Combo_002.csv,32256,2.78E-08,4.24E-04,4.86E-05,1.202,1.3065
Combo_003.csv,34048,3.29E-08,2.86E-04,4.90E-04,1.211,1.3465
Combo_004.csv,41216,7.84E-07,5.65E-04,7.99E-04,1.429,1.5395
Combo_005.csv,23296,1.14E-07,7.00E-04,1.63E-04,1.2145,1.3385
Combo_006.csv,44800,9.88E-08,1.41E-03,7.00E-05,1.3255,1.392
Combo_007.csv,17920,2.53E-07,6.50E-05,3.75E-03,1.56,1.4725
Combo_008.csv,19712,8.01E-08,5.91E-05,1.15E-03,1.369,1.3985
Combo_009.csv,17920,7.63E-07,1.30E-03,2.23E-03,1.4905,1.4155
Combo_010.csv,39424,1.15E-06,1.16E-03,8.64E-04,1.4455,1.556
Combo_011.csv,35840,7.49E-08,1.62E-04,3.12E-04,1.2755,1.3135
Combo_012.csv,25088,4.90E-08,8.25E-04,5.75E-05,1.1995,1.295
Combo_013.csv,39424,7.16E-08,1.05E-03,5.25E-05,1.299,1.4595
Combo_014.csv,34048,9.59E-07,8.89E-04,9.64E-04,1.4135,1.537
Combo_015.csv,35840,1.10E-07,8.75E-04,1.39E-04,1.2895,1.307
Combo_016.csv,19712,4.83E-08,4.09E-05,1.60E-03,1.49,1.438
Combo_017.csv,17920,2.88E-07,8.50E-05,3.25E-03,1.453,1.479
Combo_018.csv,19712,5.12E-07,1.16E-03,2.15E-04,1.363,1.363
Diagonal_001.csv,21504,1.50E-06,1.00E-03,1.50E-03,1.434,1.5385
Diagonal_002.csv,16128,1.00E-09,5.00E-05,2.00E-05,0.9445,1.093
Diagonal_003.csv,10752,2.10E-07,7.00E-04,3.00E-04,1.33,1.369
Diagonal_004.csv,16128,1.63E-07,2.50E-04,6.50E-04,1.1995,1.331
Diagonal_005.csv,10752,2.50E-06,2.50E-03,1.00E-03,1.5585,1.583
Diagonal_006.csv,17920,3.15E-09,9.00E-05,3.50E-05,0.9965,1.171
Diagonal_enx_001.csv,17920,1.60E-08,8.00E-04,2.00E-05,1.1605,1.3035
Diagonal_enx_002.csv,19712,1.40E-07,2.00E-03,7.00E-05,1.289,1.473
Diagonal_enx_003.csv,12544,1.20E-06,2.00E-03,6.00E-04,1.505,1.538
Diagonal_enx_004.csv,19712,3.15E-08,7.00E-04,4.50E-05,1.1415,1.242
Diagonal_enx_005.csv,12544,6.65E-08,9.50E-04,7.00E-05,1.3035,1.339
Diagonal_enx_006.csv,25088,1.13E-06,2.50E-03,4.50E-04,1.405,1.5105
Diagonal_eny_001.csv,25088,4.80E-08,6.00E-05,8.00E-04,1.179,1.3165
Diagonal_eny_002.csv,8960,1.05E-07,3.00E-05,3.50E-03,1.3065,1.442
Diagonal_eny_003.csv,14336,4.00E-07,1.00E-04,4.00E-03,1.3745,1.508
Diagonal_eny_004.csv,8960,1.75E-07,7.00E-05,2.50E-03,1.26,1.4215
