dataset_name, cardinality, AVG area, AVG x, AVG y, num_vertices, E0, E2, E3, empty_cells 
Uniform_000.csv,17142,6.10E-07,7.69E-04,7.94E-04,4,1.4495,1.947,1.928,0.595
Uniform_001.csv,28336,1.52E-06,1.02E-03,1.49E-03,4,2,1.967,1.954,0.506
Uniform_002.csv,11975,9.73E-07,9.34E-04,1.04E-03,4,1.994,1.929,1.96,0.624
Uniform_003.csv,13444,1.96E-06,1.49E-03,1.32E-03,4,1.996,1.974,1.963,0.592
Uniform_004.csv,12027,1.52E-06,1.49E-03,1.02E-03,4,1.993,1.975,1.964,0.613
Uniform_005.csv,29394,1.18E-06,9.44E-04,1.25E-03,4,2,1.968,1.955,0.512
Uniform_006.csv,20434,1.06E-06,8.68E-04,1.22E-03,4,1.522,1.954,1.936,0.561
Uniform_007.csv,10452,8.82E-07,1.14E-03,7.77E-04,4,1.988,1.918,1.892,0.642
Uniform_008.csv,13328,1.69E-06,1.38E-03,1.23E-03,4,1.995,1.975,1.965,0.599
Uniform_009.csv,22520,1.40E-06,1.43E-03,9.80E-04,4,2,1.959,1.944,0.539
Uniform_010.csv,26634,1.49E-06,1.44E-03,1.04E-03,4,2,1.966,1.952,0.515
Uniform_011.csv,19797,1.21E-06,1.18E-03,1.02E-03,4,1.999,1.954,1.937,0.561
Uniform_012.csv,27542,1.47E-06,1.08E-03,1.36E-03,4,2,1.966,1.953,0.512
Uniform_013.csv,29837,1.51E-06,1.11E-03,1.36E-03,4,2,1.968,1.956,0.5
Uniform_014.csv,18532,7.97E-07,7.52E-04,1.06E-03,4,1.999,1.954,1.937,0.58
Uniform_015.csv,21304,8.32E-07,1.02E-03,8.17E-04,4,1.999,1.956,1.939,0.564
Uniform_016.csv,27017,9.80E-07,7.55E-04,1.30E-03,4,1.979,1.966,1.953,0.529
Uniform_017.csv,28338,1.32E-06,9.04E-04,1.46E-03,4,2,1.968,1.955,0.512
Uniform_018.csv,23730,1.36E-06,1.49E-03,9.12E-04,4,2,1.961,1.946,0.534
Uniform_019.csv,21709,7.39E-07,9.09E-04,8.12E-04,4,1.487,1.958,1.942,0.565
Uniform_020.csv,29668,6.16E-07,7.96E-04,7.74E-04,4,1.982,1.968,1.956,0.533
Uniform_021.csv,23557,9.50E-07,8.36E-04,1.14E-03,4,2,1.96,1.945,0.547
Uniform_022.csv,25684,1.10E-06,1.16E-03,9.49E-04,4,2,1.965,1.951,0.532
Uniform_023.csv,19381,8.76E-07,1.09E-03,8.05E-04,4,1.498,1.954,1.937,0.573
Uniform_024.csv,28602,1.12E-06,1.09E-03,1.03E-03,4,2,1.968,1.955,0.519
Uniform_025.csv,17331,1.26E-06,9.26E-04,1.36E-03,4,1.999,1.948,1.929,0.575
Uniform_026.csv,15785,9.77E-07,9.46E-04,1.03E-03,4,1.998,1.947,1.928,0.595
Uniform_027.csv,22540,1.38E-06,1.43E-03,9.63E-04,4,2,1.96,1.944,0.54
Uniform_028.csv,21964,1.20E-06,1.13E-03,1.06E-03,4,2,1.958,1.942,0.549
Uniform_029.csv,23606,8.47E-07,9.29E-04,9.12E-04,4,2,1.961,1.946,0.552
Uniform_030.csv,24422,1.96E-06,1.34E-03,1.46E-03,4,2,1.963,1.949,0.515
Uniform_031.csv,21502,1.27E-06,8.47E-04,1.50E-03,4,1.999,1.959,1.943,0.548
Uniform_032.csv,15184,9.69E-07,9.39E-04,1.03E-03,4,1.997,1.942,1.922,0.597
Uniform_033.csv,15230,1.31E-06,1.35E-03,9.67E-04,4,1.997,1.941,1.92,0.59
Uniform_034.csv,27070,1.00E-06,1.06E-03,9.47E-04,4,1.981,1.966,1.953,0.529
Uniform_035.csv,28887,1.17E-06,8.66E-04,1.35E-03,4,2,1.969,1.957,0.514
Uniform_036.csv,15205,1.23E-06,1.35E-03,9.13E-04,4,1.997,1.944,1.924,0.591
Uniform_037.csv,13722,1.67E-06,1.18E-03,1.41E-03,4,1.996,1.976,1.917,0.594
Uniform_038.csv,19783,1.17E-06,1.30E-03,9.01E-04,4,1.999,1.955,1.938,0.562
Uniform_039.csv,12959,8.28E-07,8.60E-04,9.63E-04,4,1.994,1.931,1.909,0.62
Uniform_040.csv,20203,7.75E-07,9.73E-04,7.97E-04,4,1.999,1.956,1.939,0.572
Uniform_041.csv,18431,1.40E-06,9.36E-04,1.49E-03,4,1.999,1.953,1.935,0.563
Uniform_042.csv,19290,1.22E-06,8.97E-04,1.36E-03,4,1.999,1.954,1.937,0.563
Uniform_043.csv,10438,9.58E-07,1.18E-03,8.13E-04,4,1.988,1.918,1.893,0.64
Uniform_044.csv,29066,1.47E-06,1.04E-03,1.41E-03,4,2,1.969,1.956,0.505
Uniform_045.csv,16332,8.89E-07,1.09E-03,8.12E-04,4,1.998,1.946,1.927,0.591
Uniform_046.csv,24048,1.62E-06,1.47E-03,1.10E-03,4,2,1.963,1.949,0.525
Uniform_047.csv,15786,1.22E-06,1.36E-03,8.94E-04,4,1.997,1.943,1.923,0.588
Uniform_048.csv,24873,1.25E-06,8.57E-04,1.46E-03,4,2,1.965,1.951,0.53
Uniform_049.csv,15584,1.02E-06,1.08E-03,9.39E-04,4,1.997,1.943,1.923,0.595
Uniform_050.csv,11363,1.90E-06,1.28E-03,1.48E-03,4,1.992,1.971,1.959,0.613
Uniform_051.csv,21468,2.06E-06,1.41E-03,1.45E-03,4,2,1.96,1.945,0.529
Uniform_052.csv,19668,1.85E-06,1.26E-03,1.47E-03,4,1.999,1.955,1.938,0.546
Uniform_053.csv,26894,1.70E-06,1.14E-03,1.50E-03,4,2,1.966,1.952,0.507
Uniform_054.csv,27107,1.14E-06,8.76E-04,1.30E-03,4,1.981,1.967,1.953,0.524
Uniform_055.csv,11961,1.47E-06,1.25E-03,1.18E-03,4,1.993,1.972,1.907,0.614
Uniform_056.csv,23783,1.38E-06,1.15E-03,1.20E-03,4,2,1.962,1.947,0.533
Uniform_057.csv,25347,1.55E-06,1.42E-03,1.09E-03,4,2,1.965,1.951,0.52
Uniform_058.csv,12053,1.88E-06,1.48E-03,1.27E-03,4,1.994,1.973,1.961,0.605
Uniform_059.csv,10107,7.85E-07,9.07E-04,8.66E-04,4,1.986,1.916,1.89,0.647
Uniform_060.csv,13490,1.58E-06,1.14E-03,1.39E-03,4,1.995,1.937,1.916,0.598
Uniform_061.csv,29032,1.12E-06,9.87E-04,1.13E-03,4,1.983,1.968,1.955,0.517
Uniform_062.csv,29522,1.61E-06,1.47E-03,1.09E-03,4,2,1.968,1.955,0.498
Uniform_063.csv,26443,1.06E-06,1.17E-03,9.10E-04,4,2,1.965,1.951,0.53
Uniform_064.csv,14142,1.37E-06,1.19E-03,1.15E-03,4,1.996,1.939,1.919,0.597
Uniform_065.csv,15078,1.66E-06,1.11E-03,1.50E-03,4,1.998,1.943,1.924,0.583
Uniform_066.csv,17192,9.17E-07,1.18E-03,7.75E-04,4,1.998,1.949,1.931,0.585
Uniform_067.csv,14464,1.15E-06,1.21E-03,9.45E-04,4,1.996,1.938,1.918,0.6
Uniform_068.csv,10226,8.58E-07,9.40E-04,9.13E-04,4,1.987,1.917,1.892,0.645
Uniform_069.csv,17981,1.82E-06,1.41E-03,1.29E-03,4,1.999,1.951,1.933,0.558
Uniform_070.csv,19204,1.43E-06,1.27E-03,1.12E-03,4,1.999,1.954,1.936,0.559
Uniform_071.csv,24425,1.36E-06,9.64E-04,1.41E-03,4,2,1.963,1.949,0.53
Uniform_072.csv,10010,1.27E-06,1.02E-03,1.24E-03,4,1.988,1.919,1.956,0.637
Uniform_073.csv,16984,1.05E-06,1.05E-03,9.98E-04,4,1.999,1.947,1.928,0.583
