dataset_name, cardinality, AVG area, AVG x, AVG y, num_vertices, E0, E2, E3, empty_cells 
Combo_001.csv,34048,1.39E-06,1.43E-03,8.34E-04,4,1.666,1.364,1.287,0.903
Combo_002.csv,32256,2.78E-08,4.24E-04,4.86E-05,4,1.68,1.615,1.2795,0.864
Combo_003.csv,34048,3.29E-08,2.86E-04,4.90E-04,4,1.598,1.481,1.2615,0.91
Combo_004.csv,41216,7.84E-07,5.65E-04,7.99E-04,4,1.627,1.232,1.2,0.9
Combo_005.csv,23296,1.14E-07,7.00E-04,1.63E-04,4,1.396,1.196,1.187,0.941
Combo_006.csv,44800,9.88E-08,1.41E-03,7.00E-05,4,1.549,1.268,1.241,0.912
Combo_007.csv,17920,2.53E-07,6.50E-05,3.75E-03,4,1.4845,1.473,1.377,0.614
Combo_008.csv,19712,8.01E-08,5.91E-05,1.15E-03,4,1.318,1.72,1.703,0.713
Combo_009.csv,17920,7.63E-07,1.30E-03,2.23E-03,4,1.843,1.322,1.233,0.747
Combo_010.csv,39424,1.15E-06,1.16E-03,8.64E-04,4,1.668,1.222,1.167,0.911
Combo_011.csv,35840,7.49E-08,1.62E-04,3.12E-04,4,1.644,1.52,1.2255,0.84
Combo_012.csv,25088,4.90E-08,8.25E-04,5.75E-05,4,1.539,1.382,1.289,0.914
Combo_013.csv,39424,7.16E-08,1.05E-03,5.25E-05,4,1.608,1.163,1.122,0.904
Combo_014.csv,34048,9.59E-07,8.89E-04,9.64E-04,4,1.41,1.24,1.228,0.943
Combo_015.csv,35840,1.10E-07,8.75E-04,1.39E-04,4,1.547,1.16,1.143,0.906
Combo_016.csv,19712,4.83E-08,4.09E-05,1.60E-03,4,1.987,1.292,1.244,0.65
Combo_017.csv,17920,2.88E-07,8.50E-05,3.25E-03,4,1.435,1.792,1.767,0.69
Combo_018.csv,19712,5.12E-07,1.16E-03,2.15E-04,4,1.285,1.18,1.146,0.767
Diagonal_001.csv,21504,1.50E-06,1.00E-03,1.50E-03,4,1.502,1.211,1.164,0.916
Diagonal_002.csv,16128,1.00E-09,5.00E-05,2.00E-05,4,1.437,1.088,1.064,0.94
Diagonal_003.csv,10752,2.10E-07,7.00E-04,3.00E-04,4,1.539,1.193,1.144,0.917
Diagonal_004.csv,16128,1.63E-07,2.50E-04,6.50E-04,4,1.437,1.223,1.172,0.937
Diagonal_005.csv,10752,2.50E-06,2.50E-03,1.00E-03,4,1.528,1.268,1.171,0.906
Diagonal_006.csv,17920,3.15E-09,9.00E-05,3.50E-05,4,1.518,1.166,1.126,0.923
Diagonal_enx_001.csv,17920,1.60E-08,8.00E-04,2.00E-05,4,1.519,1.288,1.207,0.92
Diagonal_enx_002.csv,19712,1.40E-07,2.00E-03,7.00E-05,4,1.473,1.261,1.219,0.926
Diagonal_enx_003.csv,12544,1.20E-06,2.00E-03,6.00E-04,4,1.548,1.226,1.144,0.906
Diagonal_enx_004.csv,19712,3.15E-08,7.00E-04,4.50E-05,4,1.463,1.242,1.16,0.933
Diagonal_enx_005.csv,12544,6.65E-08,9.50E-04,7.00E-05,4,1.542,1.196,1.153,0.915
Diagonal_enx_006.csv,25088,1.13E-06,2.50E-03,4.50E-04,4,1.421,1.225,1.104,0.932
Diagonal_eny_001.csv,25088,4.80E-08,6.00E-05,8.00E-04,4,1.437,1.162,1.111,0.942
Diagonal_eny_002.csv,8960,1.05E-07,3.00E-05,3.50E-03,4,1.455,1.274,1.231,0.933
Diagonal_eny_003.csv,14336,4.00E-07,1.00E-04,4.00E-03,4,1.522,1.266,1.137,0.914
Diagonal_eny_004.csv,8960,1.75E-07,7.00E-05,2.50E-03,4,1.454,1.256,1.208,0.934
Diagonal_eny_005.csv,14336,1.95E-07,1.30E-04,1.50E-03,4,1.506,1.216,1.176,0.924
Diagonal_eny_006.csv,21504,3.38E-08,4.50E-05,7.50E-04,4,1.523,1.244,1.155,0.919
DiagonalRot_001.csv,10752,1.63E-07,2.50E-04,6.50E-04,4,1.475,1.128,1.095,0.962
DiagonalRot_002.csv,17920,2.50E-06,2.50E-03,1.00E-03,4,1.539,1.22,1.176,0.952
DiagonalRot_003.csv,19712,3.15E-09,9.00E-05,3.50E-05,4,1.644,1.204,0.998,0.929
DiagonalRot_004.csv,16128,1.50E-06,1.00E-03,1.50E-03,4,1.461,1.195,1.152,0.957
DiagonalRot_005.csv,10752,1.00E-09,5.00E-05,2.00E-05,4,1.527,1.176,1.136,0.95
DiagonalRot_006.csv,17920,2.10E-07,7.00E-04,3.00E-04,4,1.531,1.208,1.16,0.939
DiagonalRot_enx_001.csv,12544,3.15E-08,7.00E-04,4.50E-05,4,1.513,1.179,1.142,0.945
DiagonalRot_enx_002.csv,25088,6.65E-08,9.50E-04,7.00E-05,4,1.528,1.175,1.135,0.953
DiagonalRot_enx_003.csv,8960,1.13E-06,2.50E-03,4.50E-04,4,1.568,1.163,1.134,0.946
DiagonalRot_enx_004.csv,19712,1.60E-08,8.00E-04,2.00E-05,4,1.515,1.167,1.128,0.957
DiagonalRot_enx_005.csv,12544,1.40E-07,2.00E-03,7.00E-05,4,1.595,1.174,1.132,0.942
DiagonalRot_enx_006.csv,25088,1.20E-06,2.00E-03,6.00E-04,4,1.499,1.119,1.091,0.96
DiagonalRot_eny_001.csv,14336,1.75E-07,7.00E-05,2.50E-03,4,1.195,1.12,1.093,0.965
DiagonalRot_eny_002.csv,21504,1.95E-07,1.30E-04,1.50E-03,4,1.541,1.177,1.125,0.95
DiagonalRot_eny_003.csv,21504,3.38E-08,4.50E-05,7.50E-04,4,1.521,1.135,1.101,0.939
DiagonalRot_eny_004.csv,8960,4.80E-08,6.00E-05,8.00E-04,4,1.478,1.125,1.091,0.962
DiagonalRot_eny_005.csv,14336,1.05E-07,3.00E-05,3.50E-03,4,1.516,1.154,1.12,0.938
DiagonalRot_eny_006.csv,16128,4.00E-07,1.00E-04,4.00E-03,4,1.542,1.176,1.135,0.947
Gauss_001.csv,16128,1.63E-07,2.50E-04,6.50E-04,4,1.671,1.713,1.675,0.824
Gauss_002.csv,10752,2.50E-06,2.50E-03,1.00E-03,4,1.625,1.6185,1.612,0.769
Gauss_003.csv,17920,3.15E-09,9.00E-05,3.50E-05,4,1.63,1.678,1.652,0.81
Gauss_004.csv,21504,1.50E-06,1.00E-03,1.50E-03,4,1.634,1.689,1.671,0.787
Gauss_005.csv,16128,1.00E-09,5.00E-05,2.00E-05,4,1.619,1.679,1.66,0.828
Gauss_006.csv,10752,2.10E-07,7.00E-04,3.00E-04,4,1.665,1.658,1.629,0.825
Gauss_enx_001.csv,19712,3.15E-08,7.00E-04,4.50E-05,4,1.648,1.669,1.643,0.808
Gauss_enx_002.csv,12544,6.65E-08,9.50E-04,7.00E-05,4,1.689,1.679,1.65,0.809
Gauss_enx_003.csv,25088,1.13E-06,2.50E-03,4.50E-04,4,1.605,1.615,1.705,0.725
Gauss_enx_004.csv,17920,1.60E-08,8.00E-04,2.00E-05,4,1.656,1.68,1.647,0.794
Gauss_enx_005.csv,19712,1.40E-07,2.00E-03,7.00E-05,4,1.695,1.687,1.447,0.763
Gauss_enx_006.csv,12544,1.20E-06,2.00E-03,6.00E-04,4,1.601,1.5545,1.5555,0.79
Gauss_eny_001.csv,8960,1.75E-07,7.00E-05,2.50E-03,4,1.681,1.4285,1.4395,0.824
Gauss_eny_002.csv,14336,1.95E-07,1.30E-04,1.50E-03,4,1.683,1.67,1.395,0.817
Gauss_eny_003.csv,21504,3.38E-08,4.50E-05,7.50E-04,4,1.666,1.679,1.654,0.8
Gauss_eny_004.csv,25088,4.80E-08,6.00E-05,8.00E-04,4,1.684,1.682,1.649,0.774
Gauss_eny_005.csv,8960,1.05E-07,3.00E-05,3.50E-03,4,1.683,1.414,1.41,0.809
Gauss_eny_006.csv,14336,4.00E-07,1.00E-04,4.00E-03,4,1.706,1.5235,1.524,0.788
Parcel_001.csv,17921,3.11E-05,3.98E-03,3.95E-03,4,1.9285,1.986,1.905,0.193
Parcel_002.csv,19714,4.58E-05,6.28E-03,6.24E-03,3.999797,2,1.998,1.997,0.01
Parcel_003.csv,12545,2.41E-05,5.64E-03,4.26E-03,4,1.923,1.986,1.92,0.385
Parcel_004.csv,25089,1.22E-05,2.32E-03,2.32E-03,4,1.986,1.875,1.896,0.371
Parcel_005.csv,8962,1.01E-04,1.36E-02,7.42E-03,3.999554,2,1.998,1.999,0.019
Parcel_006.csv,14337,3.94E-05,5.85E-03,5.86E-03,4,1.979,1.997,1.995,0.156
Parcel_007.csv,21505,1.96E-05,4.32E-03,4.43E-03,3.999814,1.97,1.991,1.995,0.212
Parcel_008.csv,21505,3.36E-05,5.64E-03,5.67E-03,3.999814,2,1.999,1.998,0.062
Parcel_009.csv,16130,5.03E-05,5.77E-03,5.75E-03,3.999752,1.999,1.997,1.978,0.046
Parcel_010.csv,10753,5.19E-05,6.46E-03,6.43E-03,4,1.998,1.994,1.992,0.177
Parcel_011.csv,17921,5.04E-05,7.42E-03,6.79E-03,3.999777,2,1.998,1.999,0.014
Parcel_012.csv,19714,1.55E-05,2.66E-03,2.71E-03,3.999797,1.983,1.8065,1.8775,0.381
Parcel_013.csv,12545,2.40E-05,5.64E-03,4.26E-03,4,1.925,1.987,1.92,0.381
Parcel_014.csv,25089,3.60E-05,5.53E-03,5.54E-03,3.999841,2,1.998,1.997,0.008
Parcel_015.csv,8961,6.29E-05,7.82E-03,7.88E-03,3.999554,2,1.997,1.971,0.166
Parcel_016.csv,14338,2.95E-05,5.24E-03,5.31E-03,3.999721,2,1.993,1.99,0.235
Parcel_017.csv,16129,4.48E-05,5.56E-03,5.51E-03,3.999752,1.997,1.994,1.996,0.086
Parcel_018.csv,10753,7.53E-05,5.73E-03,5.67E-03,3.999628,1.999,1.996,1.964,0.066
Uniform_001.csv,21504,2.10E-07,7.00E-04,3.00E-04,4,1.3655,1.957,1.941,0.587
Uniform_002.csv,16128,1.50E-06,1.00E-03,1.50E-03,4,1.998,1.948,1.93,0.577
Uniform_003.csv,10752,1.00E-09,5.00E-05,2.00E-05,4,1.881,1.0575,1.053,0.672
Uniform_004.csv,21504,1.63E-07,2.50E-04,6.50E-04,4,1.959,1.897,1.943,0.589
Uniform_005.csv,16128,2.50E-06,2.50E-03,1.00E-03,4,1.998,1.948,1.929,0.553
Uniform_006.csv,25088,3.15E-09,9.00E-05,3.50E-05,4,1.964,1.882,1.854,0.594
Uniform_enx_001.csv,17920,1.20E-06,2.00E-03,6.00E-04,4,1.999,1.953,1.936,0.565
Uniform_enx_002.csv,19712,1.60E-08,8.00E-04,2.00E-05,4,1.951,1.883,1.857,0.602
Uniform_enx_003.csv,12544,1.40E-07,2.00E-03,7.00E-05,4,1.994,1.972,1.959,0.624
Uniform_enx_004.csv,17920,3.15E-08,7.00E-04,4.50E-05,4,1.944,1.874,1.93,0.612
Uniform_enx_005.csv,19712,6.65E-08,9.50E-04,7.00E-05,4,1.954,1.882,1.856,0.597
Uniform_enx_006.csv,7168,1.13E-06,2.50E-03,4.50E-04,4,1.472,1.893,1.865,0.669
Uniform_eny_001.csv,25088,1.05E-07,3.00E-05,3.50E-03,4,1.982,1.911,1.51,0.521
Uniform_eny_002.csv,8960,4.00E-07,1.00E-04,4.00E-03,4,1.441,1.457,1.4585,0.634
Uniform_eny_003.csv,14336,4.80E-08,6.00E-05,8.00E-04,4,1.274,1.935,1.913,0.632
Uniform_eny_004.csv,25088,1.75E-07,7.00E-05,2.50E-03,4,1.979,1.906,1.484,0.538
Uniform_eny_005.csv,8960,1.95E-07,1.30E-04,1.50E-03,4,1.3435,1.962,1.946,0.666
Uniform_eny_006.csv,16128,3.38E-08,4.50E-05,7.50E-04,4,1.934,1.861,1.921,0.621
