0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1188,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,1386,575,2,0,0,0,0,0,0,0,0,0,0,0,0
0,15,856,1259,54,0,0,0,0,0,0,0,0,0,0,0
0,0,0,114,1365,717,6,0,0,0,0,0,0,0,0,0
0,0,0,0,9,738,1380,89,1,0,0,0,0,0,0,0
0,0,0,0,0,1,88,1350,841,10,0,0,0,0,0,0
0,0,0,0,0,0,0,9,691,1296,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
