dataset_name, cardinality, AVG area, AVG x, AVG y, num_vertices, E0, E2, E3, empty_cells 
bit_001.csv,24611,1.75E-06,1.07E-03,1.63E-03,4,1.999,1.941,1.92,0.502
bit_002.csv,25159,2.02E-06,1.02E-03,1.99E-03,4,1.999,1.942,1.921,0.457
bit_003.csv,27855,2.20E-06,1.53E-03,1.44E-03,4,1.98,1.931,1.901,0.476
bit_004.csv,23601,2.20E-06,1.17E-03,1.88E-03,4,0.626,0.838,0.861,0.838
bit_005.csv,26711,1.94E-06,1.19E-03,1.64E-03,4,1.97,1.872,1.824,0.496
bit_006.csv,19426,2.28E-06,1.30E-03,1.75E-03,4,1.787,1.725,1.63,0.614
bit_007.csv,11624,1.69E-06,1.54E-03,1.10E-03,4,2,1.881,1.837,0.71
bit_008.csv,29516,2.62E-06,1.34E-03,1.95E-03,4,2,1.972,1.986,0.465
bit_009.csv,18812,1.67E-06,1.38E-03,1.21E-03,4,2,1.977,1.967,0.71
bit_010.csv,16899,3.28E-06,1.84E-03,1.78E-03,4,2,1.806,1.726,0.711
bit_011.csv,29181,2.10E-06,1.92E-03,1.09E-03,4,1.975,1.884,1.838,0.48
bit_012.csv,10242,1.06E-06,1.01E-03,1.05E-03,4,1.892,1.916,1.89,0.557
bit_013.csv,29815,3.40E-06,1.90E-03,1.79E-03,4,1.857,1.79,1.749,0.466
bit_014.csv,19613,1.68E-06,1.58E-03,1.06E-03,4,1.945,1.813,1.64,0.486
bit_015.csv,12046,2.04E-06,1.90E-03,1.07E-03,4,1.578,1.973,1.962,0.583
bit_016.csv,25784,1.36E-06,1.31E-03,1.04E-03,4,1.791,1.712,1.597,0.612
bit_017.csv,14407,1.66E-06,1.29E-03,1.29E-03,4,2,1.817,1.737,0.713
bit_018.csv,28074,1.67E-06,1.16E-03,1.43E-03,4,1.965,1.873,1.826,0.518
bit_019.csv,16297,1.61E-06,1.47E-03,1.10E-03,4,1.998,1.95,1.932,0.551
bit_020.csv,11406,1.49E-06,1.15E-03,1.29E-03,4,1.82,1.745,1.512,0.63
bit_021.csv,22107,1.11E-06,1.05E-03,1.06E-03,4,2,1.96,1.945,0.525
bit_022.csv,27475,1.18E-06,1.07E-03,1.11E-03,4,1.992,1.699,1.66,0.538
bit_023.csv,13135,1.42E-06,1.16E-03,1.23E-03,4,1.812,1.568,1.376,0.629
bit_024.csv,10364,2.66E-06,1.89E-03,1.40E-03,3.999614,1.592,1.952,1.933,0.615
bit_025.csv,23610,1.69E-06,1.52E-03,1.11E-03,4,2,1.942,1.916,0.71
bit_026.csv,23304,2.54E-06,1.82E-03,1.39E-03,4,1.949,1.748,1.703,0.501
bit_027.csv,29779,1.76E-06,1.14E-03,1.54E-03,4,2,1.698,0.057,0.712
bit_028.csv,26949,2.27E-06,1.43E-03,1.59E-03,4,1.987,1.823,1.796,0.467
bit_029.csv,10785,1.20E-06,1.02E-03,1.18E-03,4,1.964,1.832,1.783,0.639
bit_030.csv,24920,1.85E-06,1.50E-03,1.24E-03,4,1.984,1.982,1.974,0.479
bit_031.csv,11567,2.66E-06,1.91E-03,1.39E-03,4,0.66,0.8745,0.8965,0.838
bit_032.csv,19847,1.87E-06,1.86E-03,1.00E-03,4,1.904,1.654,1.685,0.551
bit_033.csv,22168,2.21E-06,1.55E-03,1.43E-03,4,2,1.912,1.869,0.709
bit_034.csv,11842,1.91E-06,1.56E-03,1.23E-03,4,1.832,1.555,1.671,0.617
bit_035.csv,20279,2.93E-06,1.65E-03,1.78E-03,4,1.993,1.641,1.579,0.583
bit_036.csv,20477,2.11E-06,1.19E-03,1.77E-03,4,1.855,1.551,1.468,0.591
bit_037.csv,23093,1.50E-06,1.00E-03,1.49E-03,4,2,1.959,1.942,0.71
bit_038.csv,26438,3.08E-06,1.71E-03,1.80E-03,4,1.822,1.73,1.673,0.511
bit_039.csv,28681,2.56E-06,1.69E-03,1.52E-03,4,0,0.8825,0.9015,0.838
bit_040.csv,16947,2.89E-06,1.75E-03,1.65E-03,4,0,0.917,0.936,0.838
diagonal_001.csv,24426,2.91E-06,1.47E-03,1.98E-03,4,1.768,1.655,1.619,0.745
diagonal_002.csv,12867,1.71E-06,1.15E-03,1.49E-03,4,1.653,1.484,1.396,0.858
diagonal_003.csv,18426,1.66E-06,1.59E-03,1.04E-03,4,1.784,1.48,1.381,0.765
diagonal_004.csv,28371,3.15E-06,1.60E-03,1.98E-03,4,1.743,1.572,1.469,0.773
diagonal_005.csv,13541,1.98E-06,1.33E-03,1.49E-03,4,1.723,1.714,1.607,0.813
diagonal_006.csv,18763,2.35E-06,1.73E-03,1.35E-03,4,1.741,1.5,1.402,0.791
diagonal_007.csv,29144,1.33E-06,1.15E-03,1.16E-03,4,1.698,1.563,1.464,0.82
diagonal_008.csv,28148,3.12E-06,1.78E-03,1.75E-03,4,1.727,1.476,1.401,0.88
diagonal_009.csv,10319,1.41E-06,1.10E-03,1.28E-03,4,1.642,1.56,1.449,0.869
diagonal_010.csv,26361,1.63E-06,1.04E-03,1.57E-03,4,1.682,1.508,1.421,0.831
diagonal_011.csv,27283,3.54E-06,1.77E-03,2.00E-03,4,1.788,1.668,1.642,0.712
diagonal_012.csv,25424,2.23E-06,1.59E-03,1.41E-03,4,1.67,1.603,1.517,0.828
diagonal_013.csv,17798,3.09E-06,1.57E-03,1.97E-03,4,1.654,1.503,1.427,0.884
diagonal_014.csv,18443,2.48E-06,1.59E-03,1.56E-03,4,1.637,1.574,1.494,0.856
diagonal_015.csv,18106,2.40E-06,1.96E-03,1.22E-03,4,1.747,1.62,1.529,0.77
diagonal_016.csv,13783,1.73E-06,1.32E-03,1.32E-03,4,1.659,1.478,1.402,0.854
diagonal_017.csv,28551,3.22E-06,1.97E-03,1.63E-03,4,1.714,1.584,1.485,0.79
diagonal_018.csv,11008,2.39E-06,1.73E-03,1.38E-03,4,1.611,1.579,1.588,0.874
diagonal_019.csv,23197,2.03E-06,1.07E-03,1.90E-03,4,1.719,1.54,1.444,0.811
diagonal_020.csv,22904,2.76E-06,1.47E-03,1.88E-03,4,1.75,1.722,1.647,0.753
diagonal_021.csv,29223,2.35E-06,1.27E-03,1.86E-03,4,1.621,1.538,1.45,0.852
diagonal_022.csv,18890,2.54E-06,1.41E-03,1.80E-03,4,1.755,1.647,1.626,0.767
diagonal_023.csv,24132,2.50E-06,1.65E-03,1.52E-03,4,1.602,1.564,1.478,0.863
diagonal_024.csv,22132,1.58E-06,1.31E-03,1.21E-03,4,1.78,1.732,1.609,0.773
diagonal_025.csv,16727,2.05E-06,1.59E-03,1.29E-03,4,1.665,1.511,1.417,0.845
diagonal_026.csv,11812,2.60E-06,1.93E-03,1.35E-03,4,1.517,1.502,1.435,0.904
diagonal_027.csv,24151,1.87E-06,1.58E-03,1.18E-03,4,1.758,1.554,1.5595,0.76
diagonal_028.csv,22942,2.01E-06,1.70E-03,1.18E-03,4,1.628,1.614,1.546,0.876
diagonal_029.csv,28304,2.27E-06,1.14E-03,2.00E-03,4,1.719,1.524,1.424,0.76
diagonal_030.csv,19498,2.48E-06,1.67E-03,1.49E-03,4,1.641,1.538,1.448,0.851
diagonal_031.csv,12759,1.84E-06,1.13E-03,1.63E-03,4,1.631,1.571,1.532,0.866
diagonal_032.csv,24111,2.08E-06,1.91E-03,1.09E-03,4,1.751,1.656,1.573,0.785
diagonal_033.csv,26184,2.10E-06,1.35E-03,1.56E-03,4,1.65,1.649,1.584,0.845
diagonal_034.csv,17809,2.73E-06,1.55E-03,1.76E-03,4,1.762,1.483,1.397,0.767
diagonal_035.csv,24541,2.52E-06,1.28E-03,1.98E-03,4,1.641,1.562,1.472,0.813
diagonal_036.csv,29608,3.73E-06,1.99E-03,1.87E-03,4,1.752,1.72,1.595,0.842
diagonal_037.csv,10343,1.49E-06,1.32E-03,1.12E-03,4,1.711,1.705,1.562,0.83
diagonal_038.csv,29664,2.22E-06,1.24E-03,1.80E-03,4,1.648,1.507,1.413,0.864
diagonal_039.csv,21870,3.28E-06,1.85E-03,1.78E-03,4,1.78,1.701,1.637,0.752
diagonal_040.csv,20513,3.55E-06,1.93E-03,1.84E-03,4,1.761,1.601,1.519,0.748
