,dataset1,dataset2,result_size,card_x,card_y,join_selectivity
0,diagonal_001_50.csv,diagonal_002_50.csv,115560618,717350,633800,254171.3046926445
1,diagonal_001_50.csv,diagonal_003_50.csv,195515726,717350,1393200,195630.7529701314
2,diagonal_002_50.csv,diagonal_003_50.csv,198916892,633800,1393200,225271.35135115546
3,diagonal_001_50.csv,gaussian_001_50.csv,15611083,717350,882750,24652.683713857077
4,diagonal_002_50.csv,gaussian_001_50.csv,15086150,633800,882750,26964.257164532613
5,diagonal_003_50.csv,gaussian_001_50.csv,39393921,1393200,882750,32031.554649101563
6,diagonal_001_50.csv,gaussian_002_50.csv,12002942,717350,787550,21246.063201006593
7,diagonal_002_50.csv,gaussian_002_50.csv,11373289,633800,787550,22785.350007279387
8,diagonal_003_50.csv,gaussian_002_50.csv,29935890,1393200,787550,27283.530827048922
9,gaussian_001_50.csv,gaussian_002_50.csv,56288287,882750,787550,80965.90415759588
10,diagonal_001_50.csv,gaussian_003_50.csv,17570600,717350,931250,26302.026053198224
11,diagonal_002_50.csv,gaussian_003_50.csv,17166638,633800,931250,29084.84331220443
12,diagonal_003_50.csv,gaussian_003_50.csv,44722705,1393200,931250,34470.55785820678
13,gaussian_001_50.csv,gaussian_003_50.csv,82696694,882750,931250,100596.7930449195
14,gaussian_002_50.csv,gaussian_003_50.csv,64127020,787550,931250,87437.2795761556
15,diagonal_001_50.csv,uniform_001_50.csv,3413785,717350,584650,8139.713316096471
16,diagonal_002_50.csv,uniform_001_50.csv,3080313,633800,584650,8312.78713814343
17,diagonal_003_50.csv,uniform_001_50.csv,8011089,1393200,584650,9835.176017984655
18,gaussian_001_50.csv,uniform_001_50.csv,5319988,882750,584650,10308.060822443178
19,gaussian_002_50.csv,uniform_001_50.csv,3936083,787550,584650,8548.504761816906
20,gaussian_003_50.csv,uniform_001_50.csv,6043686,931250,584650,11100.42617133982
21,diagonal_001_50.csv,uniform_002_50.csv,7089563,717350,1134500,8711.317912879178
22,diagonal_002_50.csv,uniform_002_50.csv,6503994,633800,1134500,9045.30877783775
23,diagonal_003_50.csv,uniform_002_50.csv,16882500,1393200,1134500,10681.169141509215
24,gaussian_001_50.csv,uniform_002_50.csv,11083918,882750,1134500,11067.53942509329
25,gaussian_002_50.csv,uniform_002_50.csv,8393691,787550,1134500,9394.427978003538
26,gaussian_003_50.csv,uniform_002_50.csv,12487750,931250,1134500,11819.88931646558
27,uniform_001_50.csv,uniform_002_50.csv,6317947,584650,1134500,9525.231162738122
28,diagonal_001_50.csv,uniform_003_50.csv,4583586,717350,601200,10628.092111587795
29,diagonal_002_50.csv,uniform_003_50.csv,4215436,633800,601200,11062.958756936532
30,diagonal_003_50.csv,uniform_003_50.csv,10774188,1393200,601200,12863.291504845605
31,gaussian_001_50.csv,uniform_003_50.csv,6964375,882750,601200,13122.767963553682
32,gaussian_002_50.csv,uniform_003_50.csv,5373200,787550,601200,11348.433009333163
33,gaussian_003_50.csv,uniform_003_50.csv,7792445,931250,601200,13918.37354374026
34,uniform_001_50.csv,uniform_003_50.csv,4039455,584650,601200,11492.323656799972
35,uniform_002_50.csv,uniform_003_50.csv,8415703,1134500,601200,12338.629630704801
