dataset1,dataset2,cardinality_x_1,cardinality_x_10,cardinality_x_20,cardinality_x_30,cardinality_x_40,cardinality_x_50,average,std
diagonal_001.csv,diagonal_002.csv,251239.160963807,255907.906108355,256014.662544198,254358.567706462,254616.09274942,254171.304692644,254384.615794148,1730.38224610285
diagonal_001.csv,diagonal_003.csv,195590.00300997,197340.682374423,196152.01471161,195580.694759127,195940.665442467,195630.752970131,196039.135544621,677.51406364125
diagonal_002.csv,diagonal_003.csv,226563.078277604,228557.704251104,227133.577092703,225418.473981973,226581.695348217,225271.351351155,226587.646717126,1206.59886161675
diagonal_001.csv,gaussian_001.csv,24378.5652047759,24903.7209527175,24904.5105418739,24817.6074819959,24775.9999717327,24652.6837138571,24738.8479778255,199.719037683849
diagonal_002.csv,gaussian_001.csv,27739.6997374112,27464.6262973605,27176.1588898544,27166.6499301031,27176.5498730578,26964.2571645326,27281.3236487199,275.473006805609
diagonal_003.csv,gaussian_001.csv,31918.5967233493,32370.7056965527,32207.3724111928,32071.4409016469,32235.8147125257,32031.5546491016,32139.2475157282,162.739901046339
diagonal_001.csv,gaussian_002.csv,21134.6513729733,21391.5772227879,21060.1424340092,21374.3583624892,21126.1550307128,21246.0632010066,21222.1579373298,138.24782496367
diagonal_002.csv,gaussian_002.csv,22959.0676086242,23236.4896755617,22693.2903567368,23002.8754863184,22694.3296251768,22785.3500072794,22895.2337932829,212.2899667923
diagonal_003.csv,gaussian_002.csv,27355.6315771428,27558.736774443,27221.9977447257,27277.4183798577,27212.5234705668,27283.5308270489,27318.3064622975,128.488512878753
gaussian_001.csv,gaussian_002.csv,80544.0358009932,81010.5496756456,81195.8984105894,81148.4576930117,81246.2182052572,80965.9041575959,81018.5106571822,256.187659660397
diagonal_001.csv,gaussian_003.csv,25661.1886683978,26296.2628578432,26393.1612576677,26288.6950255588,26271.4324674662,26302.0260531982,26202.1277216887,268.420199548296
diagonal_002.csv,gaussian_003.csv,28637.3233992897,29230.1469140012,29090.0099749884,29108.1833261209,29040.5824249599,29084.8433122044,29031.8482252608,203.502732415541
diagonal_003.csv,gaussian_003.csv,33795.9831742673,34457.4703208489,34445.7113843462,34347.8123100527,34417.8832661807,34470.5578582068,34322.5697189838,261.640127366587
gaussian_001.csv,gaussian_003.csv,100457.881201781,100303.634729025,100960.687601094,100617.287470452,100742.890866895,100596.79304492,100613.195819028,227.071722338444
gaussian_002.csv,gaussian_003.csv,87182.2775500778,87278.233958939,87571.6509317188,87467.9462369516,87594.1550957242,87437.2795761556,87421.9238915945,162.796064626726
diagonal_001.csv,uniform_001.csv,8315.47686508859,8126.21780382224,8245.94278793357,8165.04985548294,8135.11819550265,8139.71331609647,8187.91980398774,76.2620707889874
diagonal_002.csv,uniform_001.csv,8264.71550474392,8343.24716880532,8436.28425191587,8335.75082821145,8287.82719131611,8312.78713814343,8330.10201385602,59.7356392738065
diagonal_003.csv,uniform_001.csv,9975.0240131055,9879.60139877706,9954.06111648719,9861.96351016311,9851.38550873691,9835.17601798465,9892.86859420907,57.7485238997946
gaussian_001.csv,uniform_001.csv,10283.8639514069,10158.7912395721,10281.9626718021,10329.3439589378,10305.9769231159,10308.0608224432,10277.9999278797,60.9645481391437
gaussian_002.csv,uniform_001.csv,8296.39217215201,8490.98817702761,8542.62344506241,8564.34778204024,8548.84030961549,8548.50476181691,8498.61610795245,102.197213715255
gaussian_003.csv,uniform_001.csv,11268.1424152694,10960.3118254081,11093.3691183333,11133.9410125295,11101.364494446,11100.4261713398,11109.592506221,98.4180524803836
diagonal_001.csv,uniform_002.csv,8871.59269633229,8873.37438738627,8792.39192116152,8756.4176332571,8788.41575502707,8711.31791287918,8798.91838434057,63.9660978957644
diagonal_002.csv,uniform_002.csv,9053.66151071538,9223.19167018638,9138.68735259116,9103.94804079089,9139.52179144008,9045.30877783775,9117.38652392694,65.6888056882615
diagonal_003.csv,uniform_002.csv,11022.8147115619,10834.4035064477,10748.2249930943,10752.4243865596,10757.9563559172,10681.1691415092,10799.4988491817,119.717184483429
gaussian_001.csv,uniform_002.csv,11403.1248006856,11076.3084480355,11146.2861397989,11109.3040630941,11088.4108504926,11067.5394250933,11148.4956212,127.868645420875
gaussian_002.csv,uniform_002.csv,9435.0659149318,9366.17762227889,9456.84882956636,9423.99491528666,9410.18939271948,9394.42797800354,9414.45077546446,31.8214980520074
gaussian_003.csv,uniform_002.csv,12167.4983214082,11769.7001606124,11894.3980880322,11865.892756141,11842.1295488359,11819.8893164656,11893.2513652492,140.869820692917
uniform_001.csv,uniform_002.csv,9679.0910187722,9511.89301347908,9515.24752711097,9509.99170363029,9515.60088177726,9525.23116273812,9542.84255125132,66.9543902935821
diagonal_001.csv,uniform_003.csv,10480.6534325694,10835.0131362933,10450.1911351202,10521.3857656001,10620.6575429796,10628.0921115878,10589.3321873584,140.4498192885
diagonal_002.csv,uniform_003.csv,10727.2044739804,11279.0486136174,10838.7739614911,10935.6760107405,11079.2708327428,11062.9587569365,10987.1554415848,195.793111614824
diagonal_003.csv,uniform_003.csv,12906.0474132604,13057.3442549297,12719.1574597957,12755.0689446386,12878.563486841,12863.2915048456,12863.2455107185,120.17029894371
gaussian_001.csv,uniform_003.csv,12318.4198957885,13173.5019529524,13171.5941288385,13233.6258914877,13197.364475241,13122.7679635537,13036.2123846436,353.507187059415
