dataset1,dataset2,cardinality_x_1,cardinality_x_10,cardinality_x_20,cardinality_x_30,cardinality_x_40,cardinality_x_50,average,std
diagonal_001.csv,diagonal_002.csv,82973.5327054582,80575.2501918574,80764.7653712356,80704.1845028115,80743.5146841452,81211.660213274,81162.1512781303,833.757800474619
diagonal_001.csv,diagonal_003.csv,72671.2456006417,70676.3980847841,71563.6254060839,71192.4582606602,71043.4044736938,71132.4570266787,71379.9314754237,633.223906400464
diagonal_002.csv,diagonal_003.csv,99673.1993169992,101547.957627297,101945.065209183,101182.146302292,101583.254018157,101306.001826247,101206.270716696,726.351596994189
diagonal_001.csv,gaussian_001.csv,10689.9860500258,10613.3464372507,10604.8219040501,10609.1510056149,10611.9127657579,10585.3865587965,10619.100786916,33.0379441852301
diagonal_002.csv,gaussian_001.csv,12094.5263717442,12103.1246014115,12286.6683023888,12172.4461786583,12182.1386504912,12208.2044687517,12174.5180955743,64.8980138543272
diagonal_003.csv,gaussian_001.csv,11375.8525416311,11098.0902759554,11275.0262107872,11218.3833229678,11225.0154269605,11226.1973791592,11236.4275262435,82.2869707921373
diagonal_001.csv,gaussian_002.csv,11652.8379095306,11551.7984598676,11390.1585738009,11467.8541989853,11448.0194058112,11375.8772645667,11481.0909687604,95.8332973760848
diagonal_002.csv,gaussian_002.csv,12943.4321834935,13155.819117878,13039.0125347587,13042.2387004612,13030.0843288699,12994.9334189184,13034.25338073,64.1308214828119
diagonal_003.csv,gaussian_002.csv,11959.2860669451,11931.6764175724,11883.6654891641,11920.0200979101,11884.6598526444,11838.8296704336,11903.022932445,38.9618495997027
gaussian_001.csv,gaussian_002.csv,42075.2318686617,41663.7888537074,41712.6803295588,41700.1353636496,41759.2341945771,41790.8862386628,41783.6594748029,136.654407963978
diagonal_001.csv,gaussian_003.csv,11625.9555856164,11538.8182459215,11385.9122792758,11358.2566839088,11352.9742215531,11444.7557808086,11451.1121328474,100.67042216604
diagonal_002.csv,gaussian_003.csv,13287.8838814768,13093.2009315854,13099.60042443,12958.8154253861,12957.9208416266,13125.1010773951,13087.0870969833,111.874868315894
diagonal_003.csv,gaussian_003.csv,12278.875071105,12101.0243440901,12092.0828879184,11989.7951658969,12005.0837423628,12122.188145762,12098.1748928559,94.5925914529377
gaussian_001.csv,gaussian_003.csv,41829.3017325684,41727.2408465937,41880.2603936026,41811.9290497895,41812.1572656453,41866.8611827082,41821.2917451513,49.3874230575891
gaussian_002.csv,gaussian_003.csv,45343.4483414459,44732.6150763127,44903.2978039364,44772.6697997992,44839.8852219599,44889.4003314577,44913.5527624853,201.458049764328
diagonal_001.csv,uniform_001.csv,3625.79843682649,3645.73569165814,3631.96507611163,3619.8876675646,3620.4489931609,3611.25567767425,3625.84859049934,10.8823409132159
diagonal_002.csv,uniform_001.csv,4369.47505121761,4363.20807504853,4342.73470944856,4328.25337992559,4348.25717133565,4325.26103696571,4346.19823732361,16.3695049047165
diagonal_003.csv,uniform_001.csv,4144.16172898882,4069.68991177977,4054.10534318436,4049.66598401648,4065.95679579511,4049.29149195391,4072.14520928641,33.1253900381141
gaussian_001.csv,uniform_001.csv,4799.34413654908,4698.26234889895,4654.21323654891,4696.58594065054,4665.76561678082,4649.97109485918,4694.02372904791,50.7295933744633
gaussian_002.csv,uniform_001.csv,5154.13421129194,5114.70286933162,5098.42082644351,5146.55862402393,5112.28302301048,5092.44114466084,5119.75678312705,23.0322691386219
gaussian_003.csv,uniform_001.csv,5170.83572129195,4986.19425124413,4961.88421755444,5010.86109324792,4978.3932447896,4967.67981704206,5012.64139086168,72.4555451129397
diagonal_001.csv,uniform_002.csv,3763.39967642113,3648.3199503302,3703.81818606477,3671.14836829909,3705.89384049751,3688.74417108597,3696.88736544978,35.6852952397742
diagonal_002.csv,uniform_002.csv,4363.80555206597,4320.76977836555,4448.53565359448,4365.19870900369,4431.55199067501,4405.94556844103,4389.30120869095,43.7767036469231
diagonal_003.csv,uniform_002.csv,4355.52615220508,4048.89711108984,4155.02676499857,4076.38532058376,4144.2105417206,4111.20113822352,4148.54117147023,99.526615532694
gaussian_001.csv,uniform_002.csv,4688.30662578885,4723.47667218852,4708.09171356523,4733.83315770689,4716.70024089158,4761.75035898237,4722.02646152057,22.6534116779906
gaussian_002.csv,uniform_002.csv,4823.0150724315,5124.37222768758,5109.93027806058,5130.70657457422,5130.42470516963,5178.38566120437,5082.80575318798,118.076445261488
gaussian_003.csv,uniform_002.csv,4964.1297400399,5053.60441789977,5037.52364610552,5054.94155722368,5038.8398926275,5087.10056024747,5039.35663569064,37.3900256588536
uniform_001.csv,uniform_002.csv,4412.381141483,4426.16983255014,4413.21657394178,4420.88146397615,4420.84090900243,4416.64557808033,4418.35591650564,4.80705900688957
diagonal_001.csv,uniform_003.csv,3034.43881759795,3095.18217018764,3085.97243007128,3088.90590284908,3090.76490594664,3071.29960855848,3077.76063920184,20.7476755748784
diagonal_002.csv,uniform_003.csv,4017.69111906371,3767.23308471246,3720.87595466927,3733.07173290228,3738.55489332297,3714.99870924538,3782.07091565268,106.673262593599
diagonal_003.csv,uniform_003.csv,3285.93493790866,3487.02380670729,3419.76563449396,3433.43690623256,3442.34996881622,3415.91513971081,3414.07106564492,61.8486466161963
gaussian_001.csv,uniform_003.csv,3729.97700013183,4070.27217028376,4018.60913108807,4005.35030396938,4022.94078742275,4011.98015930555,3976.52159203356,112.240748681382
gaussian_002.csv,uniform_003.csv,4137.27074956881,4326.22929178651,4320.39495777255,4290.17303514899,4309.76386683648,4298.55477483982,4280.39777932553,65.1578182484462
gaussian_003.csv,uniform_003.csv,4154.70993262885,4377.40431519658,4333.40830147911,4316.16403019144,4337.52802692044,4323.21068417293,4307.07088176489,70.8579878092244
uniform_001.csv,uniform_003.csv,3749.26790405517,3817.09817071632,3799.32752548058,3799.02686709364,3804.7556380169,3803.15224707597,3795.43805873976,21.5064994696854
uniform_002.csv,uniform_003.csv,4015.59660010835,3841.05276500807,3848.25620684064,3858.26337398999,3847.23583858901,3854.78942784267,3877.53236872979,61.9892495865961
