,dataset1,dataset2,result_size,card_x,card_y,join_selectivity
0,diagonal_001_10.csv,diagonal_002_10.csv,1544625,124190,154360,80575.25019185738
1,diagonal_001_10.csv,diagonal_003_10.csv,1149651,124190,130980,70676.39808478409
2,diagonal_002_10.csv,diagonal_003_10.csv,2053104,154360,130980,101547.9576272967
3,diagonal_001_10.csv,gaussian_001_10.csv,359504,124190,272750,10613.34643725069
4,diagonal_002_10.csv,gaussian_001_10.csv,509562,154360,272750,12103.124601411488
5,diagonal_003_10.csv,gaussian_001_10.csv,396477,130980,272750,11098.090275955397
6,diagonal_001_10.csv,gaussian_002_10.csv,223743,124190,155960,11551.798459867596
7,diagonal_002_10.csv,gaussian_002_10.csv,316713,154360,155960,13155.819117878013
8,diagonal_003_10.csv,gaussian_002_10.csv,243736,130980,155960,11931.676417572411
9,gaussian_001_10.csv,gaussian_002_10.csv,1772298,272750,155960,41663.78885370735
10,diagonal_001_10.csv,gaussian_003_10.csv,201280,124190,140460,11538.818245921453
11,diagonal_002_10.csv,gaussian_003_10.csv,283879,154360,140460,13093.20093158536
12,diagonal_003_10.csv,gaussian_003_10.csv,222628,130980,140460,12101.024344090107
13,gaussian_001_10.csv,gaussian_003_10.csv,1598590,272750,140460,41727.24084659374
14,gaussian_002_10.csv,gaussian_003_10.csv,979919,155960,140460,44732.615076312664
15,diagonal_001_10.csv,uniform_001_10.csv,117945,124190,260500,3645.7356916581443
16,diagonal_002_10.csv,uniform_001_10.csv,175448,154360,260500,4363.208075048531
17,diagonal_003_10.csv,uniform_001_10.csv,138859,130980,260500,4069.6899117797648
18,gaussian_001_10.csv,uniform_001_10.csv,333818,272750,260500,4698.262348898948
19,gaussian_002_10.csv,uniform_001_10.csv,207798,155960,260500,5114.7028693316215
20,gaussian_003_10.csv,uniform_001_10.csv,182444,140460,260500,4986.194251244129
21,diagonal_001_10.csv,uniform_002_10.csv,53609,124190,118320,3648.3199503302017
22,diagonal_002_10.csv,uniform_002_10.csv,78914,154360,118320,4320.769778365546
23,diagonal_003_10.csv,uniform_002_10.csv,62748,130980,118320,4048.8971110898437
24,gaussian_001_10.csv,uniform_002_10.csv,152435,272750,118320,4723.476672188519
25,gaussian_002_10.csv,uniform_002_10.csv,94561,155960,118320,5124.372227687584
26,gaussian_003_10.csv,uniform_002_10.csv,83987,140460,118320,5053.604417899769
27,uniform_001_10.csv,uniform_002_10.csv,136425,260500,118320,4426.169832550136
28,diagonal_001_10.csv,uniform_003_10.csv,56713,124190,147540,3095.1821701876365
29,diagonal_002_10.csv,uniform_003_10.csv,85796,154360,147540,3767.2330847124595
30,diagonal_003_10.csv,uniform_003_10.csv,67386,130980,147540,3487.0238067072937
31,gaussian_001_10.csv,uniform_003_10.csv,163794,272750,147540,4070.272170283763
32,gaussian_002_10.csv,uniform_003_10.csv,99548,155960,147540,4326.229291786513
33,gaussian_003_10.csv,uniform_003_10.csv,90715,140460,147540,4377.404315196582
34,uniform_001_10.csv,uniform_003_10.csv,146707,260500,147540,3817.0981707163182
35,uniform_002_10.csv,uniform_003_10.csv,67053,118320,147540,3841.052765008066
