,dataset1,dataset2,result_size,card_x,card_y,join_selectivity
0,diagonal_001_30.csv,diagonal_002_30.csv,13923870,372570,463080,80704.18450281152
1,diagonal_001_30.csv,diagonal_003_30.csv,10422409,372570,392940,71192.4582606602
2,diagonal_002_30.csv,diagonal_003_30.csv,18411372,463080,392940,101182.14630229247
3,diagonal_001_30.csv,gaussian_001_30.csv,3234257,372570,818250,10609.151005614867
4,diagonal_002_30.csv,gaussian_001_30.csv,4612325,463080,818250,12172.446178658281
5,diagonal_003_30.csv,gaussian_001_30.csv,3606970,392940,818250,11218.383322967828
6,diagonal_001_30.csv,gaussian_002_30.csv,1999054,372570,467880,11467.854198985322
7,diagonal_002_30.csv,gaussian_002_30.csv,2825808,463080,467880,13042.238700461243
8,diagonal_003_30.csv,gaussian_002_30.csv,2191481,392940,467880,11920.020097910126
9,gaussian_001_30.csv,gaussian_002_30.csv,15964597,818250,467880,41700.13536364964
10,diagonal_001_30.csv,gaussian_003_30.csv,1783173,372570,421380,11358.256683908816
11,diagonal_002_30.csv,gaussian_003_30.csv,2528688,463080,421380,12958.815425386136
12,diagonal_003_30.csv,gaussian_003_30.csv,1985235,392940,421380,11989.795165896934
13,gaussian_001_30.csv,gaussian_003_30.csv,14416510,818250,421380,41811.92904978951
14,gaussian_002_30.csv,gaussian_003_30.csv,8827168,467880,421380,44772.66979979918
15,diagonal_001_30.csv,uniform_001_30.csv,1053979,372570,781500,3619.887667564599
16,diagonal_002_30.csv,uniform_001_30.csv,1566382,463080,781500,4328.2533799255925
17,diagonal_003_30.csv,uniform_001_30.csv,1243582,392940,781500,4049.665984016483
18,gaussian_001_30.csv,uniform_001_30.csv,3003290,818250,781500,4696.585940650535
19,gaussian_002_30.csv,uniform_001_30.csv,1881830,467880,781500,5146.558624023932
20,gaussian_003_30.csv,uniform_001_30.csv,1650119,421380,781500,5010.8610932479205
21,diagonal_001_30.csv,uniform_002_30.csv,485500,372570,354960,3671.1483682990893
22,diagonal_002_30.csv,uniform_002_30.csv,717529,463080,354960,4365.198709003686
23,diagonal_003_30.csv,uniform_002_30.csv,568566,392940,354960,4076.3853205837595
24,gaussian_001_30.csv,uniform_002_30.csv,1374923,818250,354960,4733.833157706895
25,gaussian_002_30.csv,uniform_002_30.csv,852101,467880,354960,5130.706574574222
26,gaussian_003_30.csv,uniform_002_30.csv,756083,421380,354960,5054.941557223685
27,uniform_001_30.csv,uniform_002_30.csv,1226358,781500,354960,4420.881463976152
28,diagonal_001_30.csv,uniform_003_30.csv,509382,372570,442620,3088.905902849079
29,diagonal_002_30.csv,uniform_003_30.csv,765162,463080,442620,3733.071732902278
30,diagonal_003_30.csv,uniform_003_30.csv,597154,392940,442620,3433.4369062325627
31,gaussian_001_30.csv,uniform_003_30.csv,1450633,818250,442620,4005.3503039693796
32,gaussian_002_30.csv,uniform_003_30.csv,888465,467880,442620,4290.17303514899
33,gaussian_003_30.csv,uniform_003_30.csv,805013,421380,442620,4316.164030191437
34,uniform_001_30.csv,uniform_003_30.csv,1314112,781500,442620,3799.026867093642
35,uniform_002_30.csv,uniform_003_30.csv,606181,354960,442620,3858.2633739899857
