,dataset1,dataset2,result_size,card_x,card_y,join_selectivity
0,diagonal_001_40.csv,diagonal_002_40.csv,74088220,573880,507040,254616.09274941962
1,diagonal_001_40.csv,diagonal_003_40.csv,125328292,573880,1114560,195940.66544246685
2,diagonal_002_40.csv,diagonal_003_40.csv,128047321,507040,1114560,226581.6953482166
3,diagonal_001_40.csv,gaussian_001_40.csv,10041070,573880,706200,24775.99997173271
4,diagonal_002_40.csv,gaussian_001_40.csv,9731152,507040,706200,27176.549873057807
5,diagonal_003_40.csv,gaussian_001_40.csv,25372883,1114560,706200,32235.814712525695
6,diagonal_001_40.csv,gaussian_002_40.csv,7638528,573880,630040,21126.155030712795
7,diagonal_002_40.csv,gaussian_002_40.csv,7249828,507040,630040,22694.329625176793
8,diagonal_003_40.csv,gaussian_002_40.csv,19109107,1114560,630040,27212.523470566826
9,gaussian_001_40.csv,gaussian_002_40.csv,36149225,706200,630040,81246.21820525716
10,diagonal_001_40.csv,gaussian_003_40.csv,11232104,573880,745000,26271.432467466246
11,diagonal_002_40.csv,gaussian_003_40.csv,10969929,507040,745000,29040.58242495992
12,diagonal_003_40.csv,gaussian_003_40.csv,28578793,1114560,745000,34417.8832661807
13,gaussian_001_40.csv,gaussian_003_40.csv,53002749,706200,745000,100742.89086689513
14,gaussian_002_40.csv,gaussian_003_40.csv,41114927,630040,745000,87594.15509572419
15,diagonal_001_40.csv,uniform_001_40.csv,2183589,573880,467720,8135.118195502655
16,diagonal_002_40.csv,uniform_001_40.csv,1965481,507040,467720,8287.827191316113
17,diagonal_003_40.csv,uniform_001_40.csv,5135547,1114560,467720,9851.385508736905
18,gaussian_001_40.csv,uniform_001_40.csv,3404104,706200,467720,10305.97692311586
19,gaussian_002_40.csv,uniform_001_40.csv,2519192,630040,467720,8548.840309615493
20,gaussian_003_40.csv,uniform_001_40.csv,3868286,745000,467720,11101.364494445997
21,diagonal_001_40.csv,uniform_002_40.csv,4577477,573880,907600,8788.415755027065
22,diagonal_002_40.csv,uniform_002_40.csv,4205912,507040,907600,9139.521791440076
23,diagonal_003_40.csv,uniform_002_40.csv,10882476,1114560,907600,10757.956355917244
24,gaussian_001_40.csv,uniform_002_40.csv,7107085,706200,907600,11088.410850492628
25,gaussian_002_40.csv,uniform_002_40.csv,5380975,630040,907600,9410.18939271948
26,gaussian_003_40.csv,uniform_002_40.csv,8007198,745000,907600,11842.12954883593
27,uniform_001_40.csv,uniform_002_40.csv,4039398,467720,907600,9515.600881777254
28,diagonal_001_40.csv,uniform_003_40.csv,2931443,573880,480960,10620.657542979605
29,diagonal_002_40.csv,uniform_003_40.csv,2701857,507040,480960,11079.270832742845
30,diagonal_003_40.csv,uniform_003_40.csv,6903667,1114560,480960,12878.563486841038
31,gaussian_001_40.csv,uniform_003_40.csv,4482537,706200,480960,13197.364475240965
32,gaussian_002_40.csv,uniform_003_40.csv,3459998,630040,480960,11418.22945225457
33,gaussian_003_40.csv,uniform_003_40.csv,5011315,745000,480960,13985.772861435964
34,uniform_001_40.csv,uniform_003_40.csv,2585639,467720,480960,11494.047560115096
35,uniform_002_40.csv,uniform_003_40.csv,5384203,907600,480960,12334.398614992726
