68,55,57,72,60,67,76,64,67,58,80,67,74,52,64,65
70,59,55,64,73,76,92,55,66,64,63,58,56,66,59,77
68,68,57,59,62,74,72,74,66,63,77,63,70,71,76,49
59,72,68,74,57,68,52,96,56,66,58,65,68,59,73,67
70,79,64,57,55,81,60,69,60,58,63,55,62,73,61,72
64,66,61,68,76,67,74,54,61,61,69,73,79,73,58,59
71,65,68,77,60,65,62,79,61,66,61,70,69,61,72,76
71,61,77,59,63,65,81,63,74,64,77,68,54,62,61,79
69,61,56,67,83,54,77,71,80,58,61,74,55,73,58,76
85,71,76,62,59,65,68,62,68,68,72,61,65,58,62,61
71,62,67,56,62,41,76,68,61,58,55,79,73,76,58,71
55,64,49,61,50,57,57,68,77,68,75,70,74,74,65,72
71,52,67,66,52,65,72,64,70,53,70,67,64,63,79,60
92,58,70,68,67,66,78,70,69,71,70,54,71,70,58,59
71,80,68,67,57,55,64,60,63,78,64,61,68,76,74,50
65,71,73,59,48,79,62,79,82,64,67,65,73,74,70,75
