dataset_name, cardinality, AVG area, AVG x, AVG y, num_vertices, E0, E2, E3, empty_cells 
diagonal_001,2018811,1.93E-06,1.45E-03,1.33E-03,4,1.884,1.771,1.687,0.519
diagonal_002,1597122,1.74E-06,1.36E-03,1.28E-03,4,1.898,1.77,1.602,0.771
diagonal_003,1038894,1.36E-06,1.28E-03,1.06E-03,4,1.888,1.772,1.643,0.672
diagonal_004,2995486,9.87E-07,1.16E-03,8.51E-04,4,1.9,1.607,1.478,0.43
diagonal_005,2997977,1.73E-06,1.26E-03,1.37E-03,4,1.892,1.555,1.59,0.49
diagonal_006,1289551,1.41E-06,1.12E-03,1.26E-03,4,1.866,1.7,1.596,0.558
diagonal_007,1552257,1.35E-06,1.11E-03,1.21E-03,4,1.866,1.745,1.657,0.564
diagonal_008,1422904,8.75E-07,1.02E-03,8.59E-04,4,1.811,1.653,1.503,0.741
diagonal_009,1579304,1.30E-06,1.01E-03,1.29E-03,4,1.897,1.78,1.649,0.675
diagonal_010,2414780,1.35E-06,1.43E-03,9.49E-04,4,1.813,1.521,1.426,0.749
gaussian_001,1615959,1.20E-06,1.09E-03,1.10E-03,4,1.812,1.841,1.826,0.558
gaussian_002,2037834,1.65E-06,1.25E-03,1.32E-03,4,1.825,1.843,1.828,0.541
gaussian_003,1373419,1.23E-06,1.33E-03,9.24E-04,4,1.813,1.84,1.825,0.571
gaussian_004,2541983,1.15E-06,8.40E-04,1.37E-03,4,1.826,1.843,1.828,0.532
gaussian_005,2796733,1.05E-06,7.99E-04,1.31E-03,4,1.827,1.843,1.828,0.528
gaussian_006,2631388,1.26E-06,9.31E-04,1.35E-03,4,1.828,1.843,1.828,0.527
gaussian_007,2861871,1.17E-06,1.02E-03,1.14E-03,4,1.832,1.843,1.828,0.526
gaussian_008,2473482,9.11E-07,1.06E-03,8.58E-04,4,1.82,1.842,1.827,0.539
gaussian_009,1449342,9.13E-07,1.19E-03,7.65E-04,4,1.802,1.839,1.824,0.57
gaussian_010,2604046,1.61E-06,1.33E-03,1.21E-03,4,1.833,1.843,1.828,0.524
parcel_001,2316544,4.31E-07,2.36E-04,2.36E-04,3.999998,2,1.89,1.883,0
parcel_002,2062814,4.84E-07,2.10E-04,2.10E-04,3.999994,2,1.882,1.66,0
parcel_003,1928259,5.18E-07,2.46E-04,2.46E-04,3.999975,2,1.916,1.229,0
parcel_004,1779273,5.61E-07,2.37E-04,2.37E-04,3.999987,2,1.844,1.607,0
parcel_005,1284947,7.77E-07,3.30E-04,3.31E-04,3.999997,2,1.913,1.773,0
parcel_006,1157008,8.63E-07,3.37E-04,3.38E-04,3.999993,2,1.917,1.937,0
parcel_007,1745240,5.72E-07,2.79E-04,2.79E-04,3.999989,2,1.913,1.846,0
parcel_008,2130623,4.68E-07,2.32E-04,2.31E-04,3.999996,2,1.927,1.823,0
parcel_009,2243230,4.45E-07,2.42E-04,2.42E-04,3.999998,2,1.873,1.831,0
parcel_010,1352789,7.38E-07,3.26E-04,3.25E-04,3.999997,2,1.915,1.935,0
uniform_001,1189281,1.34E-06,9.89E-04,1.35E-03,4,2,1.984,1.999,0.018
uniform_002,1651655,8.60E-07,8.17E-04,1.05E-03,4,2,1.987,1.982,0.018
uniform_003,1985388,1.49E-06,1.31E-03,1.14E-03,4,2,1.991,1.999,0.002
uniform_004,1236843,1.70E-06,1.50E-03,1.13E-03,4,2,1.999,1.999,0.009
uniform_005,2417250,9.92E-07,8.04E-04,1.23E-03,4,2,1.992,1.988,0.004
uniform_006,2419177,1.27E-06,1.21E-03,1.05E-03,4,2,1.992,1.988,0.002
uniform_007,1729620,8.61E-07,9.61E-04,8.96E-04,4,2,1.988,1.983,0.016
uniform_008,2828698,1.15E-06,1.25E-03,9.21E-04,4,2,1.993,1.99,0.001
uniform_009,1805640,9.43E-07,1.03E-03,9.12E-04,4,2,1.989,1.984,0.012
uniform_010,1249677,1.35E-06,1.31E-03,1.03E-03,4,2,1.985,1.999,0.015
